发生时间,开关机状态,加热中,保温中,实际温度,热水量,水流量,加热剩余时间,当前设置温度
20141019075502,关,关,关,29°C,0%,0,0分钟,50°C
20141019075514,关,关,关,30°C,0%,0,0分钟,50°C
20141019075520,关,关,关,29°C,0%,0,0分钟,50°C
20141019075526,关,关,关,30°C,0%,0,0分钟,50°C
20141019075532,关,关,关,29°C,0%,0,0分钟,50°C
20141019075538,关,关,关,30°C,0%,0,0分钟,50°C
20141019075545,关,关,关,29°C,0%,0,0分钟,50°C
20141019075551,关,关,关,30°C,0%,0,0分钟,50°C
20141019075603,关,关,关,29°C,0%,0,0分钟,50°C
20141019075609,关,关,关,30°C,0%,0,0分钟,50°C
20141019075621,关,关,关,29°C,0%,0,0分钟,50°C
20141019075627,关,关,关,30°C,0%,0,0分钟,50°C
20141019075633,关,关,关,29°C,0%,0,0分钟,50°C
20141019075639,关,关,关,30°C,0%,0,0分钟,50°C
20141019075645,关,关,关,29°C,0%,0,0分钟,50°C
20141019075703,关,关,关,30°C,0%,0,0分钟,50°C
20141019075715,关,关,关,29°C,0%,0,0分钟,50°C
20141019075721,关,关,关,30°C,0%,0,0分钟,50°C
20141019075734,关,关,关,29°C,0%,0,0分钟,50°C
20141019075740,关,关,关,30°C,0%,0,0分钟,50°C
20141019075752,关,关,关,29°C,0%,0,0分钟,50°C
20141019075758,关,关,关,30°C,0%,0,0分钟,50°C
20141019075804,关,关,关,29°C,0%,0,0分钟,50°C
20141019075816,关,关,关,30°C,0%,0,0分钟,50°C
20141019075828,关,关,关,29°C,0%,0,0分钟,50°C
20141019075846,关,关,关,30°C,0%,0,0分钟,50°C
20141019075923,关,关,关,29°C,0%,0,0分钟,50°C
20141019075935,关,关,关,30°C,0%,0,0分钟,50°C
20141019075947,关,关,关,29°C,0%,0,0分钟,50°C
20141019075953,关,关,关,30°C,0%,0,0分钟,50°C
20141019080001,关,关,关,29°C,0%,0,0分钟,50°C
20141019080005,关,关,关,30°C,0%,0,0分钟,50°C
20141019080011,关,关,关,29°C,0%,0,0分钟,50°C
20141019080017,关,关,关,30°C,0%,0,0分钟,50°C
20141019080035,关,关,关,29°C,0%,0,0分钟,50°C
20141019080041,关,关,关,30°C,0%,0,0分钟,50°C
20141019080053,关,关,关,29°C,0%,0,0分钟,50°C
20141019080106,关,关,关,30°C,0%,0,0分钟,50°C
20141019080112,关,关,关,29°C,0%,0,0分钟,50°C
20141019080118,关,关,关,30°C,0%,0,0分钟,50°C
20141019080124,关,关,关,29°C,0%,0,0分钟,50°C
20141019080130,关,关,关,30°C,0%,0,0分钟,50°C
20141019080154,关,关,关,29°C,0%,0,0分钟,50°C
20141019080200,关,关,关,30°C,0%,0,0分钟,50°C
20141019080212,关,关,关,29°C,0%,0,0分钟,50°C
20141019080249,关,关,关,30°C,0%,0,0分钟,50°C
20141019080255,关,关,关,30°C,0%,0,0分钟,50°C
20141019080301,关,关,关,29°C,0%,0,0分钟,50°C
20141019080307,关,关,关,30°C,0%,0,0分钟,50°C
20141019080319,关,关,关,29°C,0%,0,0分钟,50°C
20141019080325,关,关,关,30°C,0%,0,0分钟,50°C
20141019080337,关,关,关,29°C,0%,0,0分钟,50°C
20141019080349,关,关,关,30°C,0%,0,0分钟,50°C
20141019080355,关,关,关,29°C,0%,0,0分钟,50°C
20141019080401,关,关,关,30°C,0%,0,0分钟,50°C
20141019080407,关,关,关,29°C,0%,0,0分钟,50°C
20141019080419,关,关,关,30°C,0%,0,0分钟,50°C
20141019080425,关,关,关,29°C,0%,0,0分钟,50°C
20141019080438,关,关,关,30°C,0%,0,0分钟,50°C
20141019080444,关,关,关,29°C,0%,0,0分钟,50°C
20141019080450,关,关,关,30°C,0%,0,0分钟,50°C
20141019080456,关,关,关,29°C,0%,0,0分钟,50°C
20141019080502,关,关,关,30°C,0%,0,0分钟,50°C
20141019080520,关,关,关,29°C,0%,0,0分钟,50°C
20141019080556,关,关,关,30°C,0%,0,0分钟,50°C
20141019080602,关,关,关,29°C,0%,0,0分钟,50°C
20141019080608,关,关,关,30°C,0%,0,0分钟,50°C
20141019080615,关,关,关,29°C,0%,0,0分钟,50°C
20141019080627,关,关,关,30°C,0%,0,0分钟,50°C
20141019080633,关,关,关,29°C,0%,0,0分钟,50°C
20141019080639,关,关,关,30°C,0%,0,0分钟,50°C
20141019080645,关,关,关,29°C,0%,0,0分钟,50°C
20141019080651,关,关,关,30°C,0%,0,0分钟,50°C
20141019080704,关,关,关,29°C,0%,0,0分钟,50°C
20141019080727,关,关,关,30°C,0%,0,0分钟,50°C
20141019080733,关,关,关,29°C,0%,0,0分钟,50°C
20141019080739,关,关,关,30°C,0%,0,0分钟,50°C
20141019080751,关,关,关,29°C,0%,0,0分钟,50°C
20141019080757,关,关,关,30°C,0%,0,0分钟,50°C
20141019080804,关,关,关,29°C,0%,0,0分钟,50°C
20141019080816,关,关,关,30°C,0%,0,0分钟,50°C
20141019080846,关,关,关,29°C,0%,0,0分钟,50°C
20141019080852,关,关,关,30°C,0%,0,0分钟,50°C
20141019080904,关,关,关,29°C,0%,0,0分钟,50°C
20141019080916,关,关,关,30°C,0%,0,0分钟,50°C
20141019080925,关,关,关,29°C,0%,0,0分钟,50°C
20141019080928,关,关,关,30°C,0%,0,0分钟,50°C
20141019080947,关,关,关,29°C,0%,0,0分钟,50°C
20141019080953,关,关,关,30°C,0%,0,0分钟,50°C
20141019081011,关,关,关,29°C,0%,0,0分钟,50°C
20141019081023,关,关,关,30°C,0%,0,0分钟,50°C
20141019081029,关,关,关,29°C,0%,0,0分钟,50°C
20141019081035,关,关,关,30°C,0%,0,0分钟,50°C
20141019081041,关,关,关,29°C,0%,0,0分钟,50°C
20141019081105,关,关,关,30°C,0%,0,0分钟,50°C
20141019081117,关,关,关,29°C,0%,0,0分钟,50°C
20141019081124,关,关,关,30°C,0%,0,0分钟,50°C
20141019081130,关,关,关,29°C,0%,0,0分钟,50°C
20141019081146,关,关,关,30°C,0%,0,0分钟,50°C
20141019081148,关,关,关,29°C,0%,0,0分钟,50°C
20141019081154,关,关,关,30°C,0%,0,0分钟,50°C
20141019081212,关,关,关,29°C,0%,0,0分钟,50°C
20141019081218,关,关,关,30°C,0%,0,0分钟,50°C
20141019081230,关,关,关,29°C,0%,0,0分钟,50°C
20141019081242,关,关,关,30°C,0%,0,0分钟,50°C
20141019081254,关,关,关,29°C,0%,0,0分钟,50°C
20141019081306,关,关,关,30°C,0%,0,0分钟,50°C
20141019081313,关,关,关,29°C,0%,0,0分钟,50°C
20141019081325,关,关,关,30°C,0%,0,0分钟,50°C
20141019081337,关,关,关,29°C,0%,0,0分钟,50°C
20141019081343,关,关,关,30°C,0%,0,0分钟,50°C
20141019081355,关,关,关,29°C,0%,0,0分钟,50°C
20141019081407,关,关,关,30°C,0%,0,0分钟,50°C
20141019081413,关,关,关,29°C,0%,0,0分钟,50°C
20141019081419,关,关,关,30°C,0%,0,0分钟,50°C
20141019081425,关,关,关,29°C,0%,0,0分钟,50°C
20141019081431,关,关,关,30°C,0%,0,0分钟,50°C
20141019081437,关,关,关,29°C,0%,0,0分钟,50°C
20141019081443,关,关,关,30°C,0%,0,0分钟,50°C
20141019081455,关,关,关,29°C,0%,0,0分钟,50°C
20141019081502,关,关,关,30°C,0%,0,0分钟,50°C
20141019081614,关,关,关,29°C,0%,0,0分钟,50°C
20141019081628,关,关,关,30°C,0%,0,0分钟,50°C
20141019081651,关,关,关,29°C,0%,0,0分钟,50°C
20141019081751,关,关,关,30°C,0%,0,0分钟,50°C
20141019081757,关,关,关,29°C,0%,0,0分钟,50°C
20141019081803,关,关,关,30°C,0%,0,0分钟,50°C
20141019081809,关,关,关,29°C,0%,0,0分钟,50°C
20141019081858,关,关,关,30°C,0%,0,0分钟,50°C
20141019081922,关,关,关,29°C,0%,0,0分钟,50°C
20141019081946,关,关,关,30°C,0%,0,0分钟,50°C
20141019082004,关,关,关,29°C,0%,0,0分钟,50°C
20141019082035,关,关,关,30°C,0%,0,0分钟,50°C
20141019082059,关,关,关,29°C,0%,0,0分钟,50°C
20141019082123,关,关,关,30°C,0%,0,0分钟,50°C
20141019082147,关,关,关,29°C,0%,0,0分钟,50°C
20141019082200,关,关,关,30°C,0%,0,0分钟,50°C
20141019082224,关,关,关,29°C,0%,0,0分钟,50°C
20141019082242,关,关,关,30°C,0%,0,0分钟,50°C
20141019082306,关,关,关,29°C,0%,0,0分钟,50°C
20141019082407,关,关,关,30°C,0%,0,0分钟,50°C
20141019082419,关,关,关,30°C,0%,0,0分钟,50°C
20141019082501,关,关,关,29°C,0%,0,0分钟,50°C
20141019082507,关,关,关,30°C,0%,0,0分钟,50°C
20141019082538,关,关,关,29°C,0%,0,0分钟,50°C
20141019082544,关,关,关,30°C,0%,0,0分钟,50°C
20141019082602,关,关,关,29°C,0%,0,0分钟,50°C
20141019082608,关,关,关,30°C,0%,0,0分钟,50°C
20141019082614,关,关,关,29°C,0%,0,0分钟,50°C
20141019082620,关,关,关,30°C,0%,0,0分钟,50°C
20141019082632,关,关,关,29°C,0%,0,0分钟,50°C
20141019082638,关,关,关,30°C,0%,0,0分钟,50°C
20141019082715,关,关,关,29°C,0%,0,0分钟,50°C
20141019082721,关,关,关,30°C,0%,0,0分钟,50°C
20141019082813,关,关,关,29°C,0%,0,0分钟,50°C
20141019082815,关,关,关,30°C,0%,0,0分钟,50°C
20141019082833,关,关,关,29°C,0%,0,0分钟,50°C
20141019082839,关,关,关,30°C,0%,0,0分钟,50°C
20141019082910,关,关,关,29°C,0%,0,0分钟,50°C
20141019082916,关,关,关,30°C,0%,0,0分钟,50°C
20141019082940,关,关,关,29°C,0%,0,0分钟,50°C
