发生时间,开关机状态,加热中,保温中,实际温度,热水量,水流量,加热剩余时间,当前设置温度
20141024214359,关,关,关,50°C,50%,27,0分钟,50°C
20141024214405,关,关,关,50°C,50%,28,0分钟,50°C
20141024214407,关,关,关,50°C,50%,30,0分钟,50°C
20141024214421,关,关,关,50°C,50%,28,0分钟,50°C
20141024214423,关,关,关,50°C,50%,30,0分钟,50°C
20141024214431,关,关,关,50°C,50%,28,0分钟,50°C
20141024214436,关,关,关,50°C,50%,30,0分钟,50°C
20141024214444,关,关,关,50°C,50%,28,0分钟,50°C
20141024214448,关,关,关,50°C,50%,30,0分钟,50°C
20141024214452,关,关,关,50°C,50%,28,0分钟,50°C
20141024214454,关,关,关,50°C,50%,30,0分钟,50°C
20141024214458,关,关,关,50°C,50%,28,0分钟,50°C
20141024214509,关,关,关,50°C,50%,28,0分钟,50°C
20141024214510,关,关,关,50°C,50%,30,0分钟,50°C
20141024214512,关,关,关,50°C,50%,28,0分钟,50°C
20141024214514,关,关,关,50°C,50%,30,0分钟,50°C
20141024214532,关,关,关,50°C,50%,28,0分钟,50°C
20141024214534,关,关,关,50°C,50%,30,0分钟,50°C
20141024214540,关,关,关,50°C,50%,28,0分钟,50°C
20141024214542,关,关,关,50°C,50%,30,0分钟,50°C
20141024214548,关,关,关,50°C,50%,28,0分钟,50°C
20141024214554,关,关,关,50°C,50%,26,0分钟,50°C
20141024214600,关,关,关,50°C,50%,27,0分钟,50°C
20141024214604,关,关,关,50°C,50%,26,0分钟,50°C
20141024214616,关,关,关,50°C,50%,27,0分钟,50°C
20141024214625,关,关,关,50°C,50%,26,0分钟,50°C
20141024214629,关,关,关,50°C,50%,27,0分钟,50°C
20141024214631,关,关,关,50°C,50%,26,0分钟,50°C
20141024214637,关,关,关,50°C,50%,27,0分钟,50°C
20141024214643,关,关,关,50°C,50%,26,0分钟,50°C
20141024214647,关,关,关,50°C,50%,27,0分钟,50°C
20141024214651,关,关,关,50°C,50%,26,0分钟,50°C
20141024214657,关,关,关,50°C,50%,27,0分钟,50°C
20141024214659,关,关,关,50°C,50%,26,0分钟,50°C
20141024214705,关,关,关,50°C,50%,27,0分钟,50°C
20141024214707,关,关,关,50°C,50%,26,0分钟,50°C
20141024214709,关,关,关,50°C,50%,27,0分钟,50°C
20141024214730,关,关,关,50°C,50%,27,0分钟,50°C
20141024214739,关,关,关,50°C,50%,26,0分钟,50°C
20141024214743,关,关,关,50°C,50%,27,0分钟,50°C
20141024214749,关,关,关,50°C,50%,26,0分钟,50°C
20141024214751,关,关,关,49°C,50%,26,0分钟,50°C
20141024214755,关,关,关,49°C,50%,27,0分钟,50°C
20141024214757,关,关,关,49°C,50%,26,0分钟,50°C
20141024214759,关,关,关,49°C,50%,20,0分钟,50°C
20141024214944,关,关,关,49°C,50%,0,0分钟,50°C
20141024215514,关,关,关,48°C,50%,0,0分钟,50°C
20141024215516,关,关,关,48°C,50%,15,0分钟,50°C
20141024215518,关,关,关,48°C,50%,48,0分钟,50°C
20141024215522,关,关,关,47°C,50%,51,0分钟,50°C
20141024215532,关,关,关,47°C,50%,31,0分钟,50°C
20141024215534,关,关,关,47°C,50%,30,0分钟,50°C
20141024215538,关,关,关,47°C,50%,31,0分钟,50°C
20141024215542,关,关,关,47°C,50%,32,0分钟,50°C
20141024215552,关,关,关,47°C,50%,31,0分钟,50°C
20141024215554,关,关,关,47°C,50%,32,0分钟,50°C
20141024215556,关,关,关,47°C,50%,30,0分钟,50°C
20141024215558,关,关,关,47°C,50%,31,0分钟,50°C
20141024215600,关,关,关,47°C,50%,32,0分钟,50°C
20141024215606,关,关,关,47°C,50%,31,0分钟,50°C
20141024215612,关,关,关,47°C,50%,30,0分钟,50°C
20141024215616,关,关,关,47°C,50%,31,0分钟,50°C
20141024215620,关,关,关,47°C,50%,32,0分钟,50°C
20141024215622,关,关,关,47°C,50%,31,0分钟,50°C
20141024215628,关,关,关,47°C,50%,32,0分钟,50°C
20141024215630,关,关,关,47°C,50%,31,0分钟,50°C
20141024215636,关,关,关,47°C,50%,32,0分钟,50°C
20141024215638,关,关,关,46°C,50%,32,0分钟,50°C
20141024215641,关,关,关,46°C,50%,31,0分钟,50°C
20141024215645,关,关,关,46°C,50%,32,0分钟,50°C
20141024215647,关,关,关,46°C,50%,31,0分钟,50°C
20141024215654,关,关,关,46°C,50%,32,0分钟,50°C
20141024215655,关,关,关,46°C,50%,31,0分钟,50°C
20141024215659,关,关,关,46°C,50%,32,0分钟,50°C
20141024215701,关,关,关,46°C,50%,31,0分钟,50°C
20141024215705,关,关,关,46°C,50%,32,0分钟,50°C
20141024215707,关,关,关,46°C,50%,31,0分钟,50°C
20141024215709,关,关,关,45°C,50%,31,0分钟,50°C
20141024215713,关,关,关,45°C,50%,32,0分钟,50°C
20141024215719,关,关,关,45°C,50%,31,0分钟,50°C
20141024215723,关,关,关,45°C,50%,32,0分钟,50°C
20141024215725,关,关,关,45°C,50%,27,0分钟,50°C
20141024215727,关,关,关,45°C,50%,28,0分钟,50°C
20141024215729,关,关,关,45°C,50%,30,0分钟,50°C
20141024215731,关,关,关,45°C,50%,28,0分钟,50°C
20141024215733,关,关,关,44°C,50%,28,0分钟,50°C
20141024215737,关,关,关,44°C,50%,23,0分钟,50°C
20141024215739,关,关,关,44°C,50%,30,0分钟,50°C
20141024215747,关,关,关,44°C,50%,27,0分钟,50°C
20141024215749,关,关,关,44°C,50%,28,0分钟,50°C
20141024215753,关,关,关,44°C,50%,27,0分钟,50°C
20141024215755,关,关,关,44°C,50%,30,0分钟,50°C
20141024215757,关,关,关,43°C,25%,32,0分钟,50°C
20141024215759,关,关,关,43°C,25%,31,0分钟,50°C
20141024215803,关,关,关,43°C,25%,32,0分钟,50°C
20141024215805,关,关,关,43°C,25%,31,0分钟,50°C
20141024215807,关,关,关,43°C,25%,32,0分钟,50°C
20141024215809,关,关,关,42°C,25%,32,0分钟,50°C
20141024215818,关,关,关,42°C,25%,31,0分钟,50°C
20141024215819,关,关,关,42°C,25%,32,0分钟,50°C
20141024215824,关,关,关,42°C,25%,31,0分钟,50°C
20141024215825,关,关,关,42°C,25%,32,0分钟,50°C
20141024215828,关,关,关,42°C,25%,31,0分钟,50°C
20141024215829,关,关,关,42°C,25%,32,0分钟,50°C
20141024215832,关,关,关,42°C,25%,31,0分钟,50°C
20141024215838,关,关,关,41°C,25%,31,0分钟,50°C
20141024215840,关,关,关,41°C,25%,35,0分钟,50°C
20141024215850,关,关,关,41°C,25%,33,0分钟,50°C
20141024215852,关,关,关,40°C,25%,33,0分钟,50°C
20141024215854,关,关,关,40°C,25%,32,0分钟,50°C
20141024215856,关,关,关,40°C,25%,35,0分钟,50°C
20141024215906,关,关,关,40°C,25%,33,0分钟,50°C
20141024215908,关,关,关,40°C,25%,35,0分钟,50°C
20141024215920,关,关,关,39°C,25%,33,0分钟,50°C
20141024215926,关,关,关,39°C,25%,33,0分钟,50°C
20141024215928,关,关,关,38°C,25%,33,0分钟,50°C
20141024215930,关,关,关,38°C,25%,35,0分钟,50°C
20141024215934,关,关,关,38°C,25%,33,0分钟,50°C
20141024215936,关,关,关,38°C,25%,35,0分钟,50°C
20141024215938,关,关,关,38°C,25%,33,0分钟,50°C
20141024215944,关,关,关,37°C,25%,33,0分钟,50°C
20141024215946,关,关,关,37°C,25%,35,0分钟,50°C
20141024215950,关,关,关,37°C,25%,33,0分钟,50°C
20141024215952,关,关,关,37°C,25%,31,0分钟,50°C
20141024220002,关,关,关,37°C,25%,0,0分钟,50°C
20141024220015,关,关,关,36°C,25%,0,0分钟,50°C
20141024220103,关,关,关,35°C,25%,0,0分钟,50°C
20141024220204,关,关,关,34°C,25%,0,0分钟,50°C
20141024220206,关,关,关,34°C,25%,26,0分钟,50°C
20141024220208,关,关,关,34°C,25%,25,0分钟,50°C
20141024220210,关,关,关,34°C,25%,26,0分钟,50°C
20141024220220,关,关,关,34°C,25%,27,0分钟,50°C
20141024220222,关,关,关,34°C,25%,26,0分钟,50°C
20141024220226,关,关,关,34°C,25%,27,0分钟,50°C
20141024220228,关,关,关,34°C,25%,33,0分钟,50°C
20141024220244,关,关,关,34°C,25%,32,0分钟,50°C
20141024220246,关,关,关,34°C,25%,31,0分钟,50°C
20141024220250,关,关,关,34°C,25%,32,0分钟,50°C
20141024220252,关,关,关,34°C,25%,31,0分钟,50°C
20141024220258,关,关,关,33°C,25%,32,0分钟,50°C
20141024220312,关,关,关,33°C,25%,31,0分钟,50°C
20141024220314,关,关,关,33°C,25%,32,0分钟,50°C
20141024220322,关,关,关,33°C,25%,31,0分钟,50°C
20141024220324,关,关,关,33°C,25%,32,0分钟,50°C
20141024220326,关,关,关,33°C,25%,31,0分钟,50°C
20141024220328,关,关,关,33°C,25%,32,0分钟,50°C
20141024220330,关,关,关,33°C,25%,31,0分钟,50°C
20141024220334,关,关,关,33°C,25%,32,0分钟,50°C
20141024220339,关,关,关,32°C,25%,31,0分钟,50°C
20141024220340,关,关,关,32°C,25%,32,0分钟,50°C
20141024220345,关,关,关,32°C,25%,31,0分钟,50°C
20141024220347,关,关,关,32°C,25%,32,0分钟,50°C
20141024220356,关,关,关,32°C,25%,31,0分钟,50°C
20141024220357,关,关,关,32°C,25%,32,0分钟,50°C
20141024220403,关,关,关,32°C,25%,26,0分钟,50°C
20141024220405,关,关,关,32°C,25%,27,0分钟,50°C
20141024220407,关,关,关,32°C,25%,26,0分钟,50°C
20141024220409,关,关,关,32°C,25%,27,0分钟,50°C
20141024220411,关,关,关,32°C,25%,26,0分钟,50°C
20141024220413,关,关,关,31°C,25%,33,0分钟,50°C
20141024220415,关,关,关,31°C,25%,31,0分钟,50°C
20141024220417,关,关,关,31°C,25%,32,0分钟,50°C
20141024220419,关,关,关,31°C,25%,30,0分钟,50°C
20141024220427,关,关,关,31°C,25%,32,0分钟,50°C
20141024220429,关,关,关,31°C,25%,47,0分钟,50°C
20141024220431,关,关,关,31°C,25%,50,0分钟,50°C
20141024220433,关,关,关,31°C,25%,51,0分钟,50°C
20141024220435,关,关,关,31°C,25%,50,0分钟,50°C
20141024220437,关,关,关,31°C,25%,62,0分钟,50°C
20141024220439,关,关,关,31°C,25%,65,0分钟,50°C
20141024220441,关,关,关,31°C,25%,66,0分钟,50°C
20141024220445,关,关,关,31°C,25%,60,0分钟,50°C
20141024220447,关,关,关,31°C,25%,58,0分钟,50°C
20141024220449,关,关,关,31°C,25%,57,0分钟,50°C
20141024220451,关,关,关,31°C,25%,55,0分钟,50°C
20141024220453,关,关,关,31°C,25%,56,0分钟,50°C
20141024220455,关,关,关,31°C,25%,55,0分钟,50°C
20141024220459,关,关,关,31°C,25%,56,0分钟,50°C
20141024220501,关,关,关,30°C,0%,55,0分钟,50°C
20141024220505,关,关,关,30°C,0%,56,0分钟,50°C
20141024220507,关,关,关,30°C,0%,53,0分钟,50°C
20141024220509,关,关,关,30°C,0%,50,0分钟,50°C
20141024220519,关,关,关,30°C,0%,51,0分钟,50°C
20141024220521,关,关,关,30°C,0%,50,0分钟,50°C
20141024220523,关,关,关,30°C,0%,43,0分钟,50°C
20141024220529,关,关,关,30°C,0%,45,0分钟,50°C
20141024220536,关,关,关,30°C,0%,46,0分钟,50°C
20141024220538,关,关,关,29°C,0%,46,0分钟,50°C
20141024220540,关,关,关,29°C,0%,45,0分钟,50°C
20141024220542,关,关,关,29°C,0%,46,0分钟,50°C
20141024220544,关,关,关,29°C,0%,45,0分钟,50°C
20141024220546,关,关,关,29°C,0%,47,0分钟,50°C
20141024220548,关,关,关,29°C,0%,45,0分钟,50°C
20141024220550,关,关,关,29°C,0%,46,0分钟,50°C
20141024220552,关,关,关,29°C,0%,51,0分钟,50°C
20141024221658,关,关,关,29°C,0%,0,0分钟,50°C
20141024221924,关,关,关,29°C,0%,0,0分钟,50°C
20141024221926,关,关,关,29°C,0%,46,0分钟,50°C
20141024221928,关,关,关,29°C,0%,48,0分钟,50°C
20141024221930,关,关,关,29°C,0%,50,0分钟,50°C
20141024221932,关,关,关,29°C,0%,51,0分钟,50°C
20141024221934,关,关,关,29°C,0%,42,0分钟,50°C
20141024221936,关,关,关,29°C,0%,37,0分钟,50°C
20141024221942,关,关,关,29°C,0%,38,0分钟,50°C
20141024221946,关,关,关,29°C,0%,37,0分钟,50°C
20141024222006,关,关,关,29°C,0%,38,0分钟,50°C
20141024222023,关,关,关,29°C,0%,40,0分钟,50°C
20141024222024,关,关,关,29°C,0%,38,0分钟,50°C
20141024222026,关,关,关,29°C,0%,40,0分钟,50°C
20141024222030,关,关,关,29°C,0%,38,0分钟,50°C
20141024222034,关,关,关,29°C,0%,40,0分钟,50°C
20141024222036,关,关,关,29°C,0%,38,0分钟,50°C
20141024222038,关,关,关,29°C,0%,40,0分钟,50°C
20141024222048,关,关,关,29°C,0%,38,0分钟,50°C
20141024222054,关,关,关,29°C,0%,40,0分钟,50°C
20141024222058,关,关,关,29°C,0%,38,0分钟,50°C
20141024222100,关,关,关,29°C,0%,40,0分钟,50°C
20141024222105,关,关,关,29°C,0%,38,0分钟,50°C
20141024222109,关,关,关,29°C,0%,40,0分钟,50°C
20141024222115,关,关,关,29°C,0%,38,0分钟,50°C
20141024222117,关,关,关,29°C,0%,40,0分钟,50°C
20141024222121,关,关,关,28°C,0%,40,0分钟,50°C
20141024222125,关,关,关,28°C,0%,38,0分钟,50°C
20141024222137,关,关,关,28°C,0%,40,0分钟,50°C
20141024222139,关,关,关,28°C,0%,38,0分钟,50°C
20141024222141,关,关,关,28°C,0%,40,0分钟,50°C
20141024222145,关,关,关,28°C,0%,38,0分钟,50°C
20141024222147,关,关,关,28°C,0%,40,0分钟,50°C
20141024222149,关,关,关,28°C,0%,38,0分钟,50°C
20141024222151,关,关,关,28°C,0%,40,0分钟,50°C
20141024222155,关,关,关,28°C,0%,38,0分钟,50°C
20141024222157,关,关,关,28°C,0%,40,0分钟,50°C
20141024222213,关,关,关,28°C,0%,38,0分钟,50°C
20141024224738,关,关,关,28°C,0%,0,0分钟,50°C
20141024224740,开,开,关,28°C,0%,0,31分钟,50°C
20141025000427,关,关,关,28°C,0%,0,0分钟,50°C
20141025000710,关,关,关,28°C,0%,0,0分钟,50°C
20141025000716,关,关,关,29°C,0%,0,0分钟,50°C
20141025000759,关,关,关,28°C,0%,0,0分钟,50°C
20141025000805,关,关,关,29°C,0%,0,0分钟,50°C
20141025000853,关,关,关,28°C,0%,0,0分钟,50°C
20141025000859,关,关,关,29°C,0%,0,0分钟,50°C
20141025001143,关,关,关,28°C,0%,0,0分钟,50°C
20141025001155,关,关,关,29°C,0%,0,0分钟,50°C
20141025001356,关,关,关,28°C,0%,0,0分钟,50°C
20141025001402,关,关,关,29°C,0%,0,0分钟,50°C
20141025001445,关,关,关,28°C,0%,0,0分钟,50°C
20141025001451,关,关,关,29°C,0%,0,0分钟,50°C
20141025001515,关,关,关,28°C,0%,0,0分钟,50°C
20141025001521,关,关,关,29°C,0%,0,0分钟,50°C
20141025001628,关,关,关,28°C,0%,0,0分钟,50°C
20141025001634,关,关,关,29°C,0%,0,0分钟,50°C
20141025001646,关,关,关,28°C,0%,0,0分钟,50°C
20141025001652,关,关,关,29°C,0%,0,0分钟,50°C
20141025001728,关,关,关,28°C,0%,0,0分钟,50°C
20141025001734,关,关,关,29°C,0%,0,0分钟,50°C
20141025001847,关,关,关,28°C,0%,0,0分钟,50°C
20141025001853,关,关,关,29°C,0%,0,0分钟,50°C
20141025001859,关,关,关,28°C,0%,0,0分钟,50°C
20141025001905,关,关,关,29°C,0%,0,0分钟,50°C
20141025001941,关,关,关,28°C,0%,0,0分钟,50°C
20141025002006,关,关,关,29°C,0%,0,0分钟,50°C
20141025002048,关,关,关,28°C,0%,0,0分钟,50°C
20141025002054,关,关,关,29°C,0%,0,0分钟,50°C
20141025002106,关,关,关,28°C,0%,0,0分钟,50°C
20141025002118,关,关,关,29°C,0%,0,0分钟,50°C
20141025002143,关,关,关,28°C,0%,0,0分钟,50°C
20141025002149,关,关,关,29°C,0%,0,0分钟,50°C
20141025002219,关,关,关,28°C,0%,0,0分钟,50°C
20141025002225,关,关,关,29°C,0%,0,0分钟,50°C
20141025002243,关,关,关,28°C,0%,0,0分钟,50°C
20141025002249,关,关,关,29°C,0%,0,0分钟,50°C
20141025002255,关,关,关,28°C,0%,0,0分钟,50°C
20141025002307,关,关,关,29°C,0%,0,0分钟,50°C
20141025002325,关,关,关,28°C,0%,0,0分钟,50°C
20141025002331,关,关,关,29°C,0%,0,0分钟,50°C
20141025002350,关,关,关,28°C,0%,0,0分钟,50°C
20141025002438,关,关,关,29°C,0%,0,0分钟,50°C
20141025002450,关,关,关,28°C,0%,0,0分钟,50°C
20141025002456,关,关,关,29°C,0%,0,0分钟,50°C
20141025002621,关,关,关,28°C,0%,0,0分钟,50°C
20141025002651,关,关,关,29°C,0%,0,0分钟,50°C
20141025002703,关,关,关,28°C,0%,0,0分钟,50°C
20141025002710,关,关,关,29°C,0%,0,0分钟,50°C
20141025002828,关,关,关,28°C,0%,0,0分钟,50°C
20141025002834,关,关,关,29°C,0%,0,0分钟,50°C
20141025002847,关,关,关,28°C,0%,0,0分钟,50°C
20141025002853,关,关,关,29°C,0%,0,0分钟,50°C
20141025002917,关,关,关,28°C,0%,0,0分钟,50°C
20141025002935,关,关,关,29°C,0%,0,0分钟,50°C
20141025002947,关,关,关,28°C,0%,0,0分钟,50°C
20141025002953,关,关,关,29°C,0%,0,0分钟,50°C
20141025003029,关,关,关,28°C,0%,0,0分钟,50°C
20141025003036,关,关,关,29°C,0%,0,0分钟,50°C
20141025003042,关,关,关,28°C,0%,0,0分钟,50°C
20141025003048,关,关,关,29°C,0%,0,0分钟,50°C
20141025003112,关,关,关,28°C,0%,0,0分钟,50°C
20141025003200,关,关,关,29°C,0%,0,0分钟,50°C
20141025003218,关,关,关,28°C,0%,0,0分钟,50°C
20141025003225,关,关,关,29°C,0%,0,0分钟,50°C
20141025003231,关,关,关,28°C,0%,0,0分钟,50°C
20141025003243,关,关,关,29°C,0%,0,0分钟,50°C
20141025003249,关,关,关,28°C,0%,0,0分钟,50°C
20141025003255,关,关,关,29°C,0%,0,0分钟,50°C
20141025003307,关,关,关,28°C,0%,0,0分钟,50°C
20141025003331,关,关,关,29°C,0%,0,0分钟,50°C
20141025003355,关,关,关,28°C,0%,0,0分钟,50°C
20141025003426,关,关,关,29°C,0%,0,0分钟,50°C
20141025003456,关,关,关,28°C,0%,0,0分钟,50°C
20141025003526,关,关,关,29°C,0%,0,0分钟,50°C
20141025003538,关,关,关,28°C,0%,0,0分钟,50°C
20141025003633,关,关,关,29°C,0%,0,0分钟,50°C
20141025003715,关,关,关,28°C,0%,0,0分钟,50°C
20141025003739,关,关,关,29°C,0%,0,0分钟,50°C
20141025003752,关,关,关,28°C,0%,0,0分钟,50°C
20141025003758,关,关,关,29°C,0%,0,0分钟,50°C
20141025003804,关,关,关,28°C,0%,0,0分钟,50°C
20141025003834,关,关,关,29°C,0%,0,0分钟,50°C
20141025003852,关,关,关,28°C,0%,0,0分钟,50°C
20141025003916,关,关,关,29°C,0%,0,0分钟,50°C
20141025003941,关,关,关,28°C,0%,0,0分钟,50°C
20141025004023,关,关,关,29°C,0%,0,0分钟,50°C
20141025004035,关,关,关,29°C,0%,0,0分钟,50°C
20141025004059,关,关,关,28°C,0%,0,0分钟,50°C
20141025004124,关,关,关,29°C,0%,0,0分钟,50°C
20141025004148,关,关,关,28°C,0%,0,0分钟,50°C
20141025004154,关,关,关,29°C,0%,0,0分钟,50°C
20141025004200,关,关,关,28°C,0%,0,0分钟,50°C
20141025004206,关,关,关,29°C,0%,0,0分钟,50°C
20141025004213,关,关,关,28°C,0%,0,0分钟,50°C
20141025004218,关,关,关,29°C,0%,0,0分钟,50°C
20141025004242,关,关,关,28°C,0%,0,0分钟,50°C
20141025004254,关,关,关,29°C,0%,0,0分钟,50°C
20141025004349,关,关,关,28°C,0%,0,0分钟,50°C
20141025004401,关,关,关,29°C,0%,0,0分钟,50°C
20141025004413,关,关,关,28°C,0%,0,0分钟,50°C
20141025004419,关,关,关,29°C,0%,0,0分钟,50°C
20141025004452,关,关,关,28°C,0%,0,0分钟,50°C
20141025004540,关,关,关,28°C,0%,0,0分钟,50°C
20141025004546,关,关,关,29°C,0%,0,0分钟,50°C
20141025004558,关,关,关,28°C,0%,0,0分钟,50°C
20141025004604,关,关,关,29°C,0%,0,0分钟,50°C
20141025004634,关,关,关,28°C,0%,0,0分钟,50°C
20141025004659,关,关,关,29°C,0%,0,0分钟,50°C
20141025004823,关,关,关,28°C,0%,0,0分钟,50°C
20141025004830,关,关,关,29°C,0%,0,0分钟,50°C
20141025004836,关,关,关,28°C,0%,0,0分钟,50°C
20141025004900,关,关,关,29°C,0%,0,0分钟,50°C
20141025004906,关,关,关,28°C,0%,0,0分钟,50°C
20141025004916,关,关,关,29°C,0%,0,0分钟,50°C
20141025004918,关,关,关,28°C,0%,0,0分钟,50°C
20141025004924,关,关,关,29°C,0%,0,0分钟,50°C
20141025005012,关,关,关,28°C,0%,0,0分钟,50°C
20141025005037,关,关,关,29°C,0%,0,0分钟,50°C
20141025005049,关,关,关,28°C,0%,0,0分钟,50°C
20141025005125,关,关,关,29°C,0%,0,0分钟,50°C
20141025005131,关,关,关,28°C,0%,0,0分钟,50°C
20141025005137,关,关,关,29°C,0%,0,0分钟,50°C
20141025005149,关,关,关,28°C,0%,0,0分钟,50°C
20141025005155,关,关,关,29°C,0%,0,0分钟,50°C
20141025005302,关,关,关,28°C,0%,0,0分钟,50°C
20141025005308,关,关,关,29°C,0%,0,0分钟,50°C
20141025005533,关,关,关,28°C,0%,0,0分钟,50°C
20141025005552,关,关,关,29°C,0%,0,0分钟,50°C
20141025005640,关,关,关,28°C,0%,0,0分钟,50°C
20141025005658,关,关,关,29°C,0%,0,0分钟,50°C
20141025005716,关,关,关,28°C,0%,0,0分钟,50°C
20141025005722,关,关,关,29°C,0%,0,0分钟,50°C
20141025005853,关,关,关,28°C,0%,0,0分钟,50°C
20141025005936,关,关,关,29°C,0%,0,0分钟,50°C
20141025005954,关,关,关,28°C,0%,0,0分钟,50°C
20141025010018,关,关,关,29°C,0%,0,0分钟,50°C
20141025010030,关,关,关,28°C,0%,0,0分钟,50°C
20141025010055,关,关,关,29°C,0%,0,0分钟,50°C
20141025010113,关,关,关,28°C,0%,0,0分钟,50°C
20141025010143,关,关,关,29°C,0%,0,0分钟,50°C
20141025010155,关,关,关,28°C,0%,0,0分钟,50°C
20141025010201,关,关,关,29°C,0%,0,0分钟,50°C
20141025010213,关,关,关,28°C,0%,0,0分钟,50°C
20141025010219,关,关,关,29°C,0%,0,0分钟,50°C
20141025010225,关,关,关,28°C,0%,0,0分钟,50°C
20141025010344,关,关,关,29°C,0%,0,0分钟,50°C
20141025010402,关,关,关,29°C,0%,0,0分钟,50°C
20141025010439,关,关,关,28°C,0%,0,0分钟,50°C
20141025010451,关,关,关,29°C,0%,0,0分钟,50°C
20141025010503,关,关,关,28°C,0%,0,0分钟,50°C
20141025010509,关,关,关,29°C,0%,0,0分钟,50°C
20141025010527,关,关,关,28°C,0%,0,0分钟,50°C
20141025010543,关,关,关,29°C,0%,0,0分钟,50°C
20141025010551,关,关,关,28°C,0%,0,0分钟,50°C
20141025010557,关,关,关,29°C,0%,0,0分钟,50°C
20141025010616,关,关,关,28°C,0%,0,0分钟,50°C
20141025010622,关,关,关,29°C,0%,0,0分钟,50°C
20141025010634,关,关,关,28°C,0%,0,0分钟,50°C
20141025010640,关,关,关,29°C,0%,0,0分钟,50°C
20141025010646,关,关,关,28°C,0%,0,0分钟,50°C
20141025010652,关,关,关,29°C,0%,0,0分钟,50°C
20141025010658,关,关,关,28°C,0%,0,0分钟,50°C
20141025010704,关,关,关,29°C,0%,0,0分钟,50°C
20141025010722,关,关,关,28°C,0%,0,0分钟,50°C
20141025010752,关,关,关,29°C,0%,0,0分钟,50°C
20141025010805,关,关,关,28°C,0%,0,0分钟,50°C
20141025010811,关,关,关,29°C,0%,0,0分钟,50°C
20141025010829,关,关,关,28°C,0%,0,0分钟,50°C
20141025010835,关,关,关,29°C,0%,0,0分钟,50°C
20141025010941,关,关,关,28°C,0%,0,0分钟,50°C
20141025010948,关,关,关,29°C,0%,0,0分钟,50°C
20141025011006,关,关,关,28°C,0%,0,0分钟,50°C
20141025011012,关,关,关,29°C,0%,0,0分钟,50°C
20141025011207,关,关,关,28°C,0%,0,0分钟,50°C
20141025011249,关,关,关,29°C,0%,0,0分钟,50°C
20141025011332,关,关,关,28°C,0%,0,0分钟,50°C
20141025011402,关,关,关,29°C,0%,0,0分钟,50°C
20141025011408,关,关,关,28°C,0%,0,0分钟,50°C
20141025011438,关,关,关,29°C,0%,0,0分钟,50°C
20141025011444,关,关,关,28°C,0%,0,0分钟,50°C
20141025011508,关,关,关,29°C,0%,0,0分钟,50°C
20141025011515,关,关,关,28°C,0%,0,0分钟,50°C
20141025011527,关,关,关,29°C,0%,0,0分钟,50°C
20141025011539,关,关,关,28°C,0%,0,0分钟,50°C
20141025011603,关,关,关,29°C,0%,0,0分钟,50°C
20141025011615,关,关,关,28°C,0%,0,0分钟,50°C
20141025011639,关,关,关,29°C,0%,0,0分钟,50°C
20141025011645,关,关,关,28°C,0%,0,0分钟,50°C
20141025011710,关,关,关,29°C,0%,0,0分钟,50°C
20141025011728,关,关,关,28°C,0%,0,0分钟,50°C
20141025011804,关,关,关,29°C,0%,0,0分钟,50°C
20141025011816,关,关,关,28°C,0%,0,0分钟,50°C
20141025011840,关,关,关,29°C,0%,0,0分钟,50°C
20141025011847,关,关,关,28°C,0%,0,0分钟,50°C
20141025011917,关,关,关,29°C,0%,0,0分钟,50°C
20141025011923,关,关,关,28°C,0%,0,0分钟,50°C
20141025011935,关,关,关,29°C,0%,0,0分钟,50°C
20141025011949,关,关,关,28°C,0%,0,0分钟,50°C
20141025011953,关,关,关,29°C,0%,0,0分钟,50°C
20141025011959,关,关,关,28°C,0%,0,0分钟,50°C
20141025012011,关,关,关,29°C,0%,0,0分钟,50°C
20141025012054,关,关,关,28°C,0%,0,0分钟,50°C
20141025012100,关,关,关,29°C,0%,0,0分钟,50°C
20141025012124,关,关,关,28°C,0%,0,0分钟,50°C
20141025012130,关,关,关,29°C,0%,0,0分钟,50°C
20141025012210,关,关,关,28°C,0%,0,0分钟,50°C
20141025012212,关,关,关,29°C,0%,0,0分钟,50°C
20141025012231,关,关,关,28°C,0%,0,0分钟,50°C
20141025012237,关,关,关,29°C,0%,0,0分钟,50°C
20141025012243,关,关,关,28°C,0%,0,0分钟,50°C
20141025012349,关,关,关,29°C,0%,0,0分钟,50°C
20141025012401,关,关,关,28°C,0%,0,0分钟,50°C
20141025012408,关,关,关,29°C,0%,0,0分钟,50°C
20141025012426,关,关,关,28°C,0%,0,0分钟,50°C
20141025012502,关,关,关,29°C,0%,0,0分钟,50°C
20141025012508,关,关,关,28°C,0%,0,0分钟,50°C
20141025012520,关,关,关,29°C,0%,0,0分钟,50°C
20141025012526,关,关,关,28°C,0%,0,0分钟,50°C
20141025012609,关,关,关,29°C,0%,0,0分钟,50°C
20141025012639,关,关,关,28°C,0%,0,0分钟,50°C
20141025012645,关,关,关,29°C,0%,0,0分钟,50°C
20141025012752,关,关,关,28°C,0%,0,0分钟,50°C
20141025012822,关,关,关,28°C,0%,0,0分钟,50°C
20141025012828,关,关,关,29°C,0%,0,0分钟,50°C
20141025012834,关,关,关,28°C,0%,0,0分钟,50°C
20141025012913,关,关,关,29°C,0%,0,0分钟,50°C
20141025012959,关,关,关,28°C,0%,0,0分钟,50°C
20141025013005,关,关,关,29°C,0%,0,0分钟,50°C
20141025013047,关,关,关,28°C,0%,0,0分钟,50°C
